,Date,actual,position,action,number,account,value
0,2018-06-01,1119.5,1119.5,HOLD,0,0,0
1,2018-06-04,1139.2900390625,1119.5,BUY,1,-1139,0
2,2018-06-05,1139.6600341796875,1139.2900390625,SELL,0,0,0
3,2018-06-06,1136.8800048828125,1139.6600341796875,BUY,1,-1136,0
4,2018-06-07,1123.8599853515625,1136.8800048828125,BUY,2,-2260,-12
5,2018-06-08,1120.8699951171875,1123.8599853515625,HOLD,2,-2260,-18
6,2018-06-11,1129.989990234375,1120.8699951171875,BUY,3,-3390,0
7,2018-06-12,1139.3199462890625,1129.989990234375,SELL,2,-2251,27
8,2018-06-13,1134.7900390625,1139.3199462890625,BUY,3,-3385,18
9,2018-06-14,1152.1199951171875,1134.7900390625,HOLD,3,-3385,70
10,2018-06-15,1152.260009765625,1152.1199951171875,SELL,2,-2233,70
11,2018-06-18,1173.4599609375,1152.260009765625,HOLD,2,-2233,113
12,2018-06-19,1168.06005859375,1173.4599609375,SELL,1,-1065,102
13,2018-06-20,1169.8399658203125,1168.06005859375,BUY,2,-2235,104
14,2018-06-21,1157.6600341796875,1169.8399658203125,SELL,1,-1077,79
15,2018-06-22,1155.47998046875,1157.6600341796875,BUY,2,-2233,77
16,2018-06-25,1124.81005859375,1155.47998046875,SELL,1,-1108,16
17,2018-06-26,1118.4599609375,1124.81005859375,HOLD,1,-1108,10
18,2018-06-27,1103.97998046875,1118.4599609375,BUY,2,-2212,-4
19,2018-06-28,1114.219970703125,1103.97998046875,HOLD,2,-2212,16
20,2018-06-29,1115.6500244140625,1114.219970703125,SELL,1,-1096,18
21,2018-07-02,1127.4599609375,1115.6500244140625,BUY,2,-2224,30
22,2018-07-03,1102.8900146484375,1127.4599609375,SELL,1,-1121,-18
23,2018-07-05,1124.27001953125,1102.8900146484375,HOLD,1,-1121,3
24,2018-07-06,1140.1700439453125,1124.27001953125,SELL,0,18,18
25,2018-07-09,1154.050048828125,1140.1700439453125,BUY,1,-1135,18
26,2018-07-10,1152.8399658203125,1154.050048828125,SELL,0,17,17
27,2018-07-11,1153.9000244140625,1152.8399658203125,HOLD,0,17,17
28,2018-07-12,1183.47998046875,1153.9000244140625,HOLD,0,17,17
29,2018-07-13,1188.8199462890625,1183.47998046875,HOLD,0,17,17
30,2018-07-16,1183.8599853515625,1188.8199462890625,HOLD,0,17,17
31,2018-07-17,1198.800048828125,1183.8599853515625,HOLD,0,17,17
32,2018-07-18,1195.8800048828125,1198.800048828125,HOLD,0,17,17
33,2018-07-19,1186.9599609375,1195.8800048828125,BUY,1,-1169,17
34,2018-07-20,1184.9100341796875,1186.9599609375,SELL,0,15,15
35,2018-07-23,1205.5,1184.9100341796875,BUY,1,-1189,15
36,2018-07-24,1248.0799560546875,1205.5,SELL,0,58,58
37,2018-07-25,1263.699951171875,1248.0799560546875,BUY,1,-1205,58
38,2018-07-26,1268.3299560546875,1263.699951171875,SELL,0,62,62
39,2018-07-27,1238.5,1268.3299560546875,HOLD,0,62,62
40,2018-07-30,1219.739990234375,1238.5,BUY,1,-1156,62
41,2018-07-31,1217.260009765625,1219.739990234375,HOLD,1,-1156,60
42,2018-08-01,1220.010009765625,1217.260009765625,BUY,2,-2376,63
43,2018-08-02,1226.1500244140625,1220.010009765625,SELL,1,-1150,75
44,2018-08-03,1223.7099609375,1226.1500244140625,BUY,2,-2374,72
45,2018-08-06,1224.77001953125,1223.7099609375,HOLD,2,-2374,75
46,2018-08-07,1242.219970703125,1224.77001953125,HOLD,2,-2374,109
47,2018-08-08,1245.6099853515625,1242.219970703125,HOLD,2,-2374,116
48,2018-08-09,1249.0999755859375,1245.6099853515625,HOLD,2,-2374,123
49,2018-08-10,1237.6099853515625,1249.0999755859375,HOLD,2,-2374,100
50,2018-08-13,1235.010009765625,1237.6099853515625,HOLD,2,-2374,95
51,2018-08-14,1242.0999755859375,1235.010009765625,HOLD,2,-2374,109
52,2018-08-15,1214.3800048828125,1242.0999755859375,SELL,1,-1160,54
