Date,actual,position,action,number,account
2019-01-02,156.0494842529297,156.0494842529297,HOLD,0,0
2019-01-03,140.50579833984375,156.0494842529297,BUY,0,0
2019-01-04,146.50389099121094,140.50579833984375,BUY,0,0
2019-01-07,146.1778106689453,146.50389099121094,SELL,0,0
2019-01-08,148.96438598632812,146.1778106689453,BUY,0,0
2019-01-09,151.4940643310547,148.96438598632812,SELL,0,0
2019-01-10,151.978271484375,151.4940643310547,BUY,0,0
2019-01-11,150.4861602783203,151.978271484375,HOLD,0,0
2019-01-14,148.22328186035156,150.4861602783203,BUY,0,0
2019-01-15,151.25692749023438,148.22328186035156,HOLD,0,0
2019-01-16,153.1047821044922,151.25692749023438,HOLD,0,0
2019-01-17,154.01388549804688,153.1047821044922,BUY,0,0
2019-01-18,154.96249389648438,154.01388549804688,HOLD,0,0
2019-01-22,151.4842071533203,154.96249389648438,HOLD,0,0
2019-01-23,152.0968475341797,151.4842071533203,HOLD,0,0
2019-01-24,150.89129638671875,152.0968475341797,SELL,0,0
2019-01-25,155.891357421875,150.89129638671875,BUY,0,0
2019-01-28,154.4486541748047,155.891357421875,SELL,0,0
2019-01-29,152.84783935546875,154.4486541748047,BUY,0,0
2019-01-30,163.2926483154297,152.84783935546875,SELL,0,0
2019-01-31,164.46856689453125,163.2926483154297,HOLD,0,0
2019-02-01,164.547607421875,164.46856689453125,BUY,0,0
2019-02-04,169.22158813476562,164.547607421875,HOLD,0,0
2019-02-05,172.1168670654297,169.22158813476562,SELL,0,0
2019-02-06,172.17616271972656,172.1168670654297,HOLD,0,0
2019-02-07,168.91526794433594,172.17616271972656,BUY,0,0
2019-02-08,169.1137237548828,168.91526794433594,HOLD,0,0
2019-02-11,168.14117431640625,169.1137237548828,HOLD,0,0
2019-02-12,169.59007263183594,168.14117431640625,BUY,0,0
2019-02-13,168.88546752929688,169.59007263183594,SELL,0,0
2019-02-14,169.5007781982422,168.88546752929688,HOLD,0,0
2019-02-15,169.1236572265625,169.5007781982422,HOLD,0,0
2019-02-19,169.6297607421875,169.1236572265625,HOLD,0,0
2019-02-20,170.72140502929688,169.6297607421875,SELL,0,0
2019-02-21,169.7587890625,170.72140502929688,HOLD,0,0
2019-02-22,171.6542510986328,169.7587890625,BUY,0,0
2019-02-25,172.90467834472656,171.6542510986328,SELL,0,0
2019-02-26,173.00392150878906,172.90467834472656,BUY,0,0
2019-02-27,173.539794921875,173.00392150878906,HOLD,0,0
2019-02-28,171.8328857421875,173.539794921875,HOLD,0,0
2019-03-01,173.6390380859375,171.8328857421875,BUY,0,0
2019-03-04,174.51235961914062,173.6390380859375,SELL,0,0
2019-03-05,174.1947784423828,174.51235961914062,BUY,0,0
2019-03-06,173.19247436523438,174.1947784423828,HOLD,0,0
2019-03-07,171.18783569335938,173.19247436523438,HOLD,0,0
2019-03-08,171.59471130371094,171.18783569335938,HOLD,0,0
2019-03-11,177.5391387939453,171.59471130371094,HOLD,0,0
2019-03-12,179.53387451171875,177.5391387939453,SELL,0,0
2019-03-13,180.32777404785156,179.53387451171875,HOLD,0,0
2019-03-14,182.3323974609375,180.32777404785156,HOLD,0,0
2019-03-15,184.7042236328125,182.3323974609375,HOLD,0,0
2019-03-18,186.58978271484375,184.7042236328125,BUY,0,0
2019-03-19,185.11111450195312,186.58978271484375,HOLD,0,0
2019-03-20,186.7287139892578,185.11111450195312,BUY,0,0
2019-03-21,193.60598754882812,186.7287139892578,SELL,0,0
2019-03-22,189.5967254638672,193.60598754882812,BUY,0,0
2019-03-25,187.30429077148438,189.5967254638672,BUY,0,0
2019-03-26,185.36912536621094,187.30429077148438,HOLD,0,0
2019-03-27,187.03634643554688,185.36912536621094,BUY,0,0
