;Date;actual;position;action;number;account;value
0;01.06.2012;208,2200012;208,2200012;HOLD;0;0;0
1;04.06.2012;214,5700073;208,2200012;BUY;1;-214;0
2;05.06.2012;213,2100067;214,5700073;SELL;0;-1;-1
3;06.06.2012;217,6399994;213,2100067;BUY;1;-219;-1
4;07.06.2012;218,8000031;217,6399994;SELL;0;0;0
5;08.06.2012;218,4799957;218,8000031;HOLD;0;0;0
6;11.06.2012;216,5;218,4799957;HOLD;0;0;0
7;12.06.2012;216,4199982;216,5;HOLD;0;0;0
8;13.06.2012;214,7299957;216,4199982;BUY;1;-214;0
9;14.06.2012;214,4499969;214,7299957;BUY;2;-429;0
10;15.06.2012;218,3500061;214,4499969;SELL;1;-211;7
11;18.06.2012;222,6600037;218,3500061;HOLD;1;-211;11
12;19.06.2012;224,0299988;222,6600037;HOLD;1;-211;13
13;20.06.2012;223,0200043;224,0299988;BUY;2;-434;11
14;21.06.2012;220,5700073;223,0200043;HOLD;2;-434;7
15;22.06.2012;222,1600037;220,5700073;HOLD;2;-434;10
16;25.06.2012;220,0700073;222,1600037;BUY;3;-654;6
17;26.06.2012;225,6100006;220,0700073;BUY;4;-879;22
18;27.06.2012;225,6199951;225,6100006;SELL;3;-654;22
19;28.06.2012;221,3099976;225,6199951;HOLD;3;-654;9
20;29.06.2012;228,3500061;221,3099976;HOLD;3;-654;30
21;02.07.2012;229,3200073;228,3500061;SELL;2;-424;33
22;03.07.2012;229,5299988;229,3200073;BUY;3;-654;34
23;05.07.2012;227,0599976;229,5299988;HOLD;3;-654;26
24;06.07.2012;225,0500031;227,0599976;HOLD;3;-654;20
25;09.07.2012;225,0500031;225,0500031;HOLD;3;-654;20
26;10.07.2012;219,5;225,0500031;BUY;4;-873;4
27;11.07.2012;218,3699951;219,5;BUY;5;-1092;0
28;12.07.2012;215,3600006;218,3699951;HOLD;5;-1092;-15
29;13.07.2012;218,3899994;215,3600006;BUY;6;-1310;0
30;16.07.2012;216,0099945;218,3899994;SELL;5;-1094;-14
31;17.07.2012;216,9299927;216,0099945;BUY;6;-1311;-9
32;18.07.2012;217,4700012;216,9299927;SELL;5;-1094;-6
33;19.07.2012;226,1699982;217,4700012;BUY;6;-1320;36
34;20.07.2012;228,2899933;226,1699982;SELL;5;-1091;49
35;23.07.2012;226,0099945;228,2899933;BUY;6;-1317;38
36;24.07.2012;223,0399933;226,0099945;HOLD;6;-1317;20
37;25.07.2012;217,0500031;223,0399933;HOLD;6;-1317;-15
38;26.07.2012;220,0099945;217,0500031;BUY;7;-1537;2
39;27.07.2012;237,3200073;220,0099945;SELL;6;-1300;123
40;30.07.2012;236,0899963;237,3200073;BUY;7;-1536;115
41;31.07.2012;233,3000031;236,0899963;HOLD;7;-1536;96
42;01.08.2012;232,0899963;233,3000031;HOLD;7;-1536;87
43;02.08.2012;230,8099976;232,0899963;BUY;8;-1767;78
44;03.08.2012;234,9700012;230,8099976;BUY;9;-2002;112
45;06.08.2012;233,9900055;234,9700012;SELL;8;-1768;103
46;07.08.2012;236,5599976;233,9900055;HOLD;8;-1768;123
47;08.08.2012;234,3800049;236,5599976;SELL;7;-1534;106
48;09.08.2012;234,0599976;234,3800049;HOLD;7;-1534;104
49;10.08.2012;232,75;234,0599976;SELL;6;-1301;95
50;13.08.2012;232,4400024;232,75;BUY;7;-1533;93
51;14.08.2012;233,1900024;232,4400024;SELL;6;-1300;98
52;15.08.2012;237,4199982;233,1900024;HOLD;6;-1300;123
53;16.08.2012;241,5500031;237,4199982;SELL;5;-1059;148
54;17.08.2012;241,1699982;241,5500031;HOLD;5;-1059;146
55;20.08.2012;240,3500061;241,1699982;HOLD;5;-1059;142
56;21.08.2012;239,4499969;240,3500061;HOLD;5;-1059;138
57;22.08.2012;243,1000061;239,4499969;BUY;6;-1302;156
58;23.08.2012;241,1999969;243,1000061;SELL;5;-1060;145
59;24.08.2012;245,7400055;241,1999969;BUY;6;-1306;167
60;27.08.2012;243,9199982;245,7400055;SELL;5;-1062;156
61;28.08.2012;246,1100006;243,9199982;HOLD;5;-1062;167
62;29.08.2012;247,1199951;246,1100006;SELL;4;-815;172
63;30.08.2012;246,2200012;247,1199951;BUY;5;-1061;169
64;31.08.2012;248,2700043;246,2200012;BUY;6;-1310;179
65;04.09.2012;247,8800049;248,2700043;SELL;5;-1062;177
66;05.09.2012;246,2200012;247,8800049;BUY;6;-1308;168
67;06.09.2012;251,3800049;246,2200012;HOLD;6;-1308;199
68;07.09.2012;259,1400146;251,3800049;SELL;5;-1049;246
69;10.09.2012;257,0899963;259,1400146;HOLD;5;-1049;236
70;11.09.2012;255,6699982;257,0899963;BUY;6;-1305;229
71;12.09.2012;255,6300049;255,6699982;SELL;5;-1049;228
72;13.09.2012;260,2399902;255,6300049;HOLD;5;-1049;251
73;14.09.2012;261,269989;260,2399902;SELL;4;-788;256
74;17.09.2012;258;261,269989;BUY;5;-1046;243
75;18.09.2012;258,75;258;HOLD;5;-1046;247
76;19.09.2012;261,6799927;258,75;SELL;4;-784;262
77;20.09.2012;260,8099976;261,6799927;BUY;5;-1045;258
78;21.09.2012;257,4700012;260,8099976;BUY;6;-1302;242
79;24.09.2012;254,8000031;257,4700012;BUY;7;-1557;226
80;25.09.2012;252,4600067;254,8000031;HOLD;7;-1557;209
81;26.09.2012;249,6699982;252,4600067;BUY;8;-1807;190
82;27.09.2012;256,5899963;249,6699982;BUY;9;-2063;245
83;28.09.2012;254,3200073;256,5899963;SELL;8;-1809;225
84;01.10.2012;252,0099945;254,3200073;BUY;9;-2061;206
85;02.10.2012;250,6000061;252,0099945;SELL;8;-1810;193
86;03.10.2012;255,9199982;250,6000061;BUY;9;-2066;236
87;04.10.2012;260,4700012;255,9199982;SELL;8;-1806;277
88;05.10.2012;258,5100098;260,4700012;BUY;9;-2064;261
89;08.10.2012;259,0599976;258,5100098;HOLD;9;-2064;266
90;09.10.2012;250,9600067;259,0599976;HOLD;9;-2064;193
91;10.10.2012;244,9900055;250,9600067;BUY;10;-2309;140
92;11.10.2012;244,2200012;244,9900055;BUY;11;-2554;132
93;12.10.2012;242,3600006;244,2200012;HOLD;11;-2554;111
94;15.10.2012;244,1799927;242,3600006;HOLD;11;-2554;131
95;16.10.2012;243,9400024;244,1799927;SELL;10;-2310;129
96;17.10.2012;247,4900055;243,9400024;BUY;11;-2557;164
97;18.10.2012;244,8500061;247,4900055;SELL;10;-2312;135
98;19.10.2012;240;244,8500061;BUY;11;-2552;87
99;22.10.2012;233,7799988;240;HOLD;11;-2552;18
100;23.10.2012;234,3099976;233,7799988;HOLD;11;-2552;24
101;24.10.2012;228,4900055;234,3099976;SELL;10;-2324;-39
102;25.10.2012;222,9199982;228,4900055;BUY;11;-2547;-95
103;26.10.2012;238,2400055;222,9199982;SELL;10;-2308;73
104;31.10.2012;232,8899994;238,2400055;HOLD;10;-2308;19
105;01.11.2012;232,1399994;232,8899994;BUY;11;-2541;12
106;02.11.2012;232,4199982;232,1399994;SELL;10;-2308;15
107;05.11.2012;234,3300018;232,4199982;BUY;11;-2542;34
108;06.11.2012;237,5599976;234,3300018;HOLD;11;-2542;70
109;07.11.2012;232,0599976;237,5599976;HOLD;11;-2542;9
110;08.11.2012;227,3500061;232,0599976;HOLD;11;-2542;-42
111;09.11.2012;226,3099976;227,3500061;HOLD;11;-2542;-53
112;12.11.2012;226,4700012;226,3099976;HOLD;11;-2542;-51
113;13.11.2012;226,6000061;226,4700012;HOLD;11;-2542;-50
114;14.11.2012;222,9499969;226,6000061;HOLD;11;-2542;-90
115;15.11.2012;220,6000061;222,9499969;HOLD;11;-2542;-116
116;16.11.2012;225,2299957;220,6000061;HOLD;11;-2542;-65
117;19.11.2012;229,7100067;225,2299957;SELL;10;-2313;-16
118;20.11.2012;233,7799988;229,7100067;BUY;11;-2547;24
119;21.11.2012;238,0299988;233,7799988;SELL;10;-2309;71
